timestamp,campaign_id,creative_id,audience_id,geo,device,clicked,cost
2014-10-25 07:00:00,cmp_2141,cr_57,aud_57,CA,ios,0,0.0023
2014-10-21 06:00:00,cmp_2230,cr_1408,aud_1408,SG,android,1,0.2455
2014-10-21 09:00:00,cmp_2230,cr_7505,aud_7505,UK,ios,0,0.0028
2014-10-24 05:00:00,cmp_2230,cr_2772,aud_2772,CA,android,0,0.0029
2014-10-23 11:00:00,cmp_2230,cr_2167,aud_2167,UK,web,0,0.0
2014-10-21 05:00:00,cmp_2230,cr_14182,aud_4182,US,web,1,0.2525
2014-10-21 21:00:00,cmp_2230,cr_15841,aud_5841,SG,ios,0,0.0021
2014-10-24 17:00:00,cmp_2230,cr_19975,aud_9975,CA,ios,0,0.0017
2014-10-22 18:00:00,cmp_2141,cr_19502,aud_9502,US,web,0,0.002
2014-10-24 12:00:00,cmp_2230,cr_15006,aud_5006,CA,ios,0,0.0011
2014-10-23 14:00:00,cmp_2230,cr_12743,aud_2743,CA,web,0,0.0029
2014-10-22 10:00:00,cmp_2230,cr_4656,aud_4656,SG,web,0,0.0028
2014-10-23 05:00:00,cmp_2230,cr_13175,aud_3175,SG,web,0,0.0021
2014-10-25 05:00:00,cmp_2141,cr_10743,aud_743,SG,ios,0,0.0031
2014-10-23 05:00:00,cmp_2230,cr_15043,aud_5043,UK,android,0,0.0025
2014-10-24 05:00:00,cmp_2230,cr_14182,aud_4182,US,web,0,0.0011
2014-10-22 06:00:00,cmp_2230,cr_3353,aud_3353,AU,web,0,0.0024
2014-10-22 09:00:00,cmp_2230,cr_7468,aud_7468,US,ios,0,0.001
2014-10-21 08:00:00,cmp_2230,cr_3712,aud_3712,US,ios,0,0.0029
2014-10-23 08:00:00,cmp_2230,cr_17379,aud_7379,SG,android,0,0.002
2014-10-22 09:00:00,cmp_2230,cr_18507,aud_8507,CA,web,0,0.0018
2014-10-25 05:00:00,cmp_2230,cr_5447,aud_5447,CA,android,0,0.0013
2014-10-24 09:00:00,cmp_2230,cr_19975,aud_9975,CA,ios,0,0.0032
2014-10-21 05:00:00,cmp_2230,cr_9224,aud_9224,AU,web,0,0.0018
2014-10-21 10:00:00,cmp_2230,cr_1119,aud_1119,US,android,0,0.0016
2014-10-24 16:00:00,cmp_2230,cr_7831,aud_7831,CA,web,0,0.0016
2014-10-22 10:00:00,cmp_2230,cr_14182,aud_4182,US,web,0,0.0025
2014-10-21 04:00:00,cmp_2230,cr_12928,aud_2928,US,android,0,0.0024
2014-10-22 07:00:00,cmp_2230,cr_14112,aud_4112,AU,android,0,0.0024
2014-10-21 17:00:00,cmp_2230,cr_14182,aud_4182,US,web,0,0.0024
2014-10-23 01:00:00,cmp_2230,cr_3712,aud_3712,US,ios,0,0.0041
2014-10-24 17:00:00,cmp_2230,cr_4494,aud_4494,UK,ios,0,0.0016
2014-10-22 08:00:00,cmp_2230,cr_17887,aud_7887,US,ios,0,0.0015
2014-10-21 21:00:00,cmp_2141,cr_17307,aud_7307,UK,web,0,0.0012
2014-10-25 08:00:00,cmp_2230,cr_7831,aud_7831,CA,web,1,0.2987
2014-10-23 02:00:00,cmp_2230,cr_14042,aud_4042,AU,android,0,0.0031
2014-10-22 12:00:00,cmp_2230,cr_8780,aud_8780,US,android,0,0.0019
2014-10-24 16:00:00,cmp_2230,cr_4048,aud_4048,US,web,0,0.0012
2014-10-21 13:00:00,cmp_2230,cr_11317,aud_1317,AU,web,0,0.0012
2014-10-25 00:00:00,cmp_1652,cr_10316,aud_316,US,android,0,0.0027
2014-10-22 12:00:00,cmp_2141,cr_8382,aud_8382,UK,web,0,0.0027
2014-10-22 09:00:00,cmp_2230,cr_7468,aud_7468,US,ios,0,0.0025
2014-10-21 13:00:00,cmp_2230,cr_8790,aud_8790,CA,android,0,0.0013
2014-10-22 18:00:00,cmp_2230,cr_14348,aud_4348,US,android,0,0.0022
2014-10-22 12:00:00,cmp_2230,cr_17887,aud_7887,US,ios,0,0.0021
2014-10-23 13:00:00,cmp_2230,cr_18507,aud_8507,CA,web,0,0.0022
2014-10-22 08:00:00,cmp_2230,cr_7468,aud_7468,US,ios,1,0.2002
2014-10-23 09:00:00,cmp_2230,cr_16607,aud_6607,US,android,0,0.0022
2014-10-21 17:00:00,cmp_2230,cr_14182,aud_4182,US,web,0,0.0027
2014-10-23 15:00:00,cmp_2230,cr_15832,aud_5832,SG,ios,0,0.0021
2014-10-22 14:00:00,cmp_2230,cr_18150,aud_8150,CA,web,0,0.0023
2014-10-21 02:00:00,cmp_2230,cr_18342,aud_8342,US,android,0,0.0026
2014-10-25 11:00:00,cmp_2230,cr_18224,aud_8224,SG,android,0,0.0005
2014-10-25 16:00:00,cmp_2230,cr_17379,aud_7379,SG,android,0,0.0017
2014-10-24 17:00:00,cmp_2230,cr_3712,aud_3712,US,ios,0,0.0015
2014-10-25 12:00:00,cmp_2230,cr_2657,aud_2657,UK,android,0,0.0014
2014-10-22 13:00:00,cmp_2230,cr_13266,aud_3266,US,android,0,0.0017
2014-10-24 08:00:00,cmp_2230,cr_14483,aud_4483,UK,web,1,0.1264
2014-10-21 14:00:00,cmp_2230,cr_3087,aud_3087,AU,android,1,0.1215
2014-10-22 09:00:00,cmp_2230,cr_17726,aud_7726,SG,android,1,0.1946
2014-10-22 16:00:00,cmp_2230,cr_18164,aud_8164,SG,ios,0,0.0003
2014-10-23 14:00:00,cmp_2230,cr_13512,aud_3512,UK,android,0,0.0017
2014-10-21 11:00:00,cmp_2141,cr_255,aud_255,UK,android,1,0.2133
2014-10-23 08:00:00,cmp_2230,cr_18722,aud_8722,CA,android,0,0.0026
2014-10-25 17:00:00,cmp_2230,cr_2657,aud_2657,UK,android,0,0.0027
2014-10-22 22:00:00,cmp_2230,cr_4583,aud_4583,US,ios,1,0.3045
2014-10-25 17:00:00,cmp_2230,cr_16207,aud_6207,US,web,0,0.0017
2014-10-21 19:00:00,cmp_2230,cr_12206,aud_2206,SG,android,0,0.0015
2014-10-22 14:00:00,cmp_2230,cr_19975,aud_9975,CA,ios,0,0.0029
2014-10-22 13:00:00,cmp_2230,cr_17640,aud_7640,AU,web,0,0.0018
2014-10-24 06:00:00,cmp_2141,cr_6770,aud_6770,US,android,0,0.0007
2014-10-22 16:00:00,cmp_2230,cr_3201,aud_3201,AU,android,0,0.0009
