date,campaign_id,impressions,clicks,spend,conversions,revenue,ctr,cvr,cpa,roas,roi
2014-10-21,cmp_1000,4,1,0.17,0,0.0,0.25,0.0,,0.0,-1.0
2014-10-21,cmp_1315,14,1,0.24,0,0.0,0.07142857142857142,0.0,,0.0,-1.0
2014-10-21,cmp_1652,97,11,2.27,0,0.0,0.1134020618556701,0.0,,0.0,-1.0
2014-10-21,cmp_2141,201,52,10.79,4,148.52,0.25870646766169153,0.07692307692307693,2.6975,13.7645968489342,12.7645968489342
2014-10-21,cmp_2230,3814,646,139.32,28,875.47,0.16937598321971684,0.043343653250773995,4.975714285714285,6.283878840080391,5.2838788400803915
2014-10-21,cmp_992,3,0,0.0,0,0.4,0.0,,,,
2014-10-22,cmp_1000,1,0,0.0,0,0.0,0.0,,,,
2014-10-22,cmp_1315,4,1,0.17,0,0.0,0.25,0.0,,0.0,-1.0
2014-10-22,cmp_1652,99,2,0.51,1,29.12,0.020202020202020204,0.5,0.51,57.09803921568628,56.09803921568627
2014-10-22,cmp_2141,223,59,12.37,4,110.79,0.2645739910313901,0.06779661016949153,3.0925,8.956345998383187,7.956345998383186
2014-10-22,cmp_2230,5016,763,162.71,54,1650.81,0.15211323763955342,0.07077326343381389,3.013148148148148,10.145719378034538,9.145719378034538
2014-10-22,cmp_992,8,1,0.35,0,0.0,0.125,0.0,,0.0,-1.0
2014-10-23,cmp_1000,1,0,0.0,0,0.0,0.0,,,,
2014-10-23,cmp_1652,67,7,2.24,1,37.28,0.1044776119402985,0.14285714285714285,2.24,16.642857142857142,15.64285714285714
2014-10-23,cmp_2141,237,54,11.13,4,127.55,0.22784810126582278,0.07407407407407407,2.7825,11.46001796945193,10.46001796945193
2014-10-23,cmp_2230,3523,658,139.68,35,1311.16,0.1867726369571388,0.05319148936170213,3.990857142857143,9.3868843069874,8.3868843069874
2014-10-23,cmp_2640,3,0,0.01,0,0.0,0.0,,,0.0,-1.0
2014-10-23,cmp_992,2,0,0.0,1,33.86,0.0,,0.0,,
2014-10-24,cmp_1315,2,0,0.01,0,0.16,0.0,,,16.0,15.0
2014-10-24,cmp_1652,79,11,4.39,1,30.11,0.13924050632911392,0.09090909090909091,4.39,6.858769931662871,5.85876993166287
2014-10-24,cmp_2141,126,26,4.99,2,60.9,0.20634920634920634,0.07692307692307693,2.495,12.20440881763527,11.204408817635269
2014-10-24,cmp_2230,3114,542,114.22,27,886.34,0.17405266538214514,0.04981549815498155,4.230370370370371,7.759936963754159,6.759936963754159
2014-10-24,cmp_2640,1,0,0.0,0,0.0,0.0,,,,
2014-10-24,cmp_992,4,0,0.01,0,0.23,0.0,,,23.0,22.0
2014-10-25,cmp_1000,1,0,0.0,0,0.01,0.0,,,,
2014-10-25,cmp_1315,7,1,0.43,0,1.04,0.14285714285714285,0.0,,2.418604651162791,1.418604651162791
2014-10-25,cmp_1652,92,5,1.89,2,74.86,0.05434782608695652,0.4,0.945,39.60846560846561,38.60846560846561
2014-10-25,cmp_2141,167,32,6.8,1,35.75,0.19161676646706588,0.03125,6.8,5.257352941176471,4.257352941176471
2014-10-25,cmp_2230,3079,564,117.41,38,1494.99,0.18317635595972717,0.0673758865248227,3.089736842105263,12.733072140362832,11.73307214036283
2014-10-25,cmp_2640,1,0,0.0,0,0.22,0.0,,,,
2014-10-25,cmp_992,10,0,0.02,0,1.36,0.0,,,68.0,67.0
